OrdersCount
-----------
11350      
OrderDetailsCount
-----------------
415198           
ArchivedOrdersCount
-------------------
211982             
NumberOfProducts
----------------
2               
AvgProductsPerCategory
----------------------
9.625                 
RegionID  RegionDescription  EmployeeCount
--------  -----------------  -------------
1         Eastern            19           
NumberOfCustomers
-----------------
93               
CompanyName                           City             Country    
------------------------------------  ---------------  -----------
Split Rail Beer & Ale                 Lander           USA        
Rattlesnake Canyon Grocery            Albuquerque      USA        
Berglunds snabbköp                    Luleå            Sweden     
Lehmanns Marktstand                   Frankfurt a.M.   Germany    
QUICK-Stop                            Cunewalde        Germany    
Que Delícia                           Rio de Janeiro   Brazil     
Tradição Hipermercados                Sao Paulo        Brazil     
Rattlesnake Canyon Grocery            Albuquerque      USA        
Vins et alcools Chevalier             Reims            France     
Blondesddsl père et fils              Strasbourg       France     
Hungry Owl All-Night Grocers          Cork             Ireland    
Ricardo Adocicados                    Rio de Janeiro   Brazil     
Magazzini Alimentari Riuniti          Bergamo          Italy      
Die Wandernde Kuh                     Stuttgart        Germany    
Suprêmes délices                      Charleroi        Belgium    
Godos Cocina Típica                   Sevilla          Spain      
Tortuga Restaurante                   México D.F.      Mexico     
Lonesome Pine Restaurant              Portland         USA        
The Big Cheese                        Portland         USA        
Die Wandernde Kuh                     Stuttgart        Germany    
QUICK-Stop                            Cunewalde        Germany    
Rattlesnake Canyon Grocery            Albuquerque      USA        
Island Trading                        Cowes            UK         
Island Trading                        Cowes            UK         
Island Trading                        Cowes            UK         
Bólido Comidas preparadas             Madrid           Spain      
Split Rail Beer & Ale                 Lander           USA        
Mère Paillarde                        Montréal         Canada     
Victuailles en stock                  Lyon             France     
Hungry Owl All-Night Grocers          Cork             Ireland    
Princesa Isabel Vinhos                Lisboa           Portugal   
Mère Paillarde                        Montréal         Canada     
Frankenversand                        München          Germany    
White Clover Markets                  Seattle          USA        
QUICK-Stop                            Cunewalde        Germany    
Die Wandernde Kuh                     Stuttgart        Germany    
La maison d'Asie                      Toulouse         France     
Die Wandernde Kuh                     Stuttgart        Germany    
QUICK-Stop                            Cunewalde        Germany    
Antonio Moreno Taquería               México D.F.      Mexico     
Galería del gastrónomo                Barcelona        Spain      
Ernst Handel                          Graz             Austria    
Split Rail Beer & Ale                 Lander           USA        
Chop-suey Chinese                     Bern             Switzerland
Queen Cozinha                         Sao Paulo        Brazil     
Hungry Coyote Import Store            Elgin            USA        
Mère Paillarde                        Montréal         Canada     
Split Rail Beer & Ale                 Lander           USA        
Santé Gourmet                         Stavern          Norway     
Bottom-Dollar Markets                 Tsawassen        Canada     
Ernst Handel                          Graz             Austria    
Ottilies Käseladen                    Köln             Germany    
Wartian Herkku                        Oulu             Finland    
La maison d'Asie                      Toulouse         France     
Richter Supermarkt                    Genève           Switzerland
Mère Paillarde                        Montréal         Canada     
La maison d'Asie                      Toulouse         France     
Piccolo und mehr                      Salzburg         Austria    
Hungry Owl All-Night Grocers          Cork             Ireland    
Bottom-Dollar Markets                 Tsawassen        Canada     
Split Rail Beer & Ale                 Lander           USA        
Folk och fä HB                        Bräcke           Sweden     
Consolidated Holdings                 London           UK         
Blondesddsl père et fils              Strasbourg       France     
Toms Spezialitäten                    Münster          Germany    
Save-a-lot Markets                    Boise            USA        
Old World Delicatessen                Anchorage        USA        
Ernst Handel                          Graz             Austria    
Ricardo Adocicados                    Rio de Janeiro   Brazil     
Rancho grande                         Buenos Aires     Argentina  
Blondesddsl père et fils              Strasbourg       France     
Victuailles en stock                  Lyon             France     
Around the Horn                       London           UK         
Wartian Herkku                        Oulu             Finland    
Königlich Essen                       Brandenburg      Germany    
Victuailles en stock                  Lyon             France     
Furia Bacalhau e Frutos do Mar        Lisboa           Portugal   
Magazzini Alimentari Riuniti          Bergamo          Italy      
Bon app'                              Marseille        France     
Pericles Comidas clásicas             México D.F.      Mexico     
Princesa Isabel Vinhos                Lisboa           Portugal   
Folies gourmandes                     Lille            France     
Ricardo Adocicados                    Rio de Janeiro   Brazil     
White Clover Markets                  Seattle          USA        
LINO-Delicateses                      I. de Margarita  Venezuela  
HILARION-Abastos                      San Cristóbal    Venezuela  
Queen Cozinha                         Sao Paulo        Brazil     
Frankenversand                        München          Germany    
Piccolo und mehr                      Salzburg         Austria    
HILARION-Abastos                      San Cristóbal    Venezuela  
Comércio Mineiro                      Sao Paulo        Brazil     
Tradição Hipermercados                Sao Paulo        Brazil     
HILARION-Abastos                      San Cristóbal    Venezuela  
LILA-Supermercado                     Barquisimeto     Venezuela  
Hungry Owl All-Night Grocers          Cork             Ireland    
Königlich Essen                       Brandenburg      Germany    
Ottilies Käseladen                    Köln             Germany    
Familia Arquibaldo                    Sao Paulo        Brazil     
Ernst Handel                          Graz             Austria    
Tortuga Restaurante                   México D.F.      Mexico     
Cactus Comidas para llevar            Buenos Aires     Argentina  
Seven Seas Imports                    London           UK         
Berglunds snabbköp                    Luleå            Sweden     
Bon app'                              Marseille        France     
Wartian Herkku                        Oulu             Finland    
Great Lakes Food Market               Eugene           USA        
Maison Dewey                          Bruxelles        Belgium    
Piccolo und mehr                      Salzburg         Austria    
Lehmanns Marktstand                   Frankfurt a.M.   Germany    
Lehmanns Marktstand                   Frankfurt a.M.   Germany    
